,model,forecast_date,delta,target_end_date,quantile,value,cases,deltaW,proper,score,sumpdf,prange,p,CIHI,CILO,PE,scorecontr
2108,DDS:NBDS,2020-10-19,12,2020-10-31,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[305894.0, 352397.0, 402471.0, 469026.0, 551258.0, 648514.0, 799098.0]",560618.0,2.0,True,-10.166285132417208,0.9499995264948367,0.95,2.003773084902072e-06,799098.0,305894.0,469026.0,161.28009375622005
2109,JHUAPL:Bucky,2020-10-19,12,2020-10-31,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[306156.286121554, 336291.838793697, 361273.905029004, 390648.67045529897, 419850.17866844, 445339.162921125, 474806.12983649]",560618.0,2.0,True,,0.9499985847408385,0.95,0.0,474806.12983649,306156.286121554,390648.67045529897,
2110,CovidAnalytics:DELPHI,2020-10-19,5,2020-10-24,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[36362.0220173885, 92381.9108873345, 142510.025410013, 198206.0, 253901.974589987, 304030.089112666, 360049.97798261204]",479514.0,1.0,True,,0.9499990676456394,0.95,0.0,360049.97798261204,36362.0220173885,198206.0,
2111,CovidAnalytics:DELPHI,2020-10-19,26,2020-11-14,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[0.0, 0.0, 30704.0508200268, 142096.0, 253487.94917997302, 353744.178225331, 465783.95596522297]",1018002.0,4.0,True,,0.9277347120878727,0.95,0.0,465783.95596522297,0.0,142096.0,
2112,UMich:RidgeTfReg,2020-10-19,12,2020-10-31,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9]","[429072.269200055, 432148.292251753, 434425.43286053295, 436993.508166969, 439899.988555636, 442862.426377242]",560618.0,2.0,False,,0.8749505423162851,0.875,0.0,442862.426377242,429072.269200055,435709.470513751,
2113,DDS:NBDS,2020-10-19,19,2020-11-07,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[264858.0, 323181.0, 388328.0, 482419.0, 607126.0, 761912.0, 985250.0]",766435.0,3.0,True,-12.579222877257024,0.9499995971115839,0.95,5.128396785014644e-07,985250.0,264858.0,482419.0,538.9438756230489
2114,COVIDhub:baseline,2020-10-19,5,2020-10-24,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[312700.5, 332660.8, 371554.0, 388452.0, 405350.0, 444243.2, 464203.5]",479514.0,1.0,True,,0.949992552774379,0.95,0.0,464203.5,312700.5,388452.0,
2115,COVIDhub:baseline,2020-10-19,19,2020-11-07,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[259011.335287853, 306644.126195262, 344447.481814818, 388452.0, 431923.844465945, 470204.00301203, 518578.560653356]",766435.0,3.0,True,,0.9499995372313228,0.95,0.0,518578.560653356,259011.335287853,388452.0,
2116,JHUAPL:Bucky,2020-10-19,19,2020-11-07,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[299274.715742663, 339406.368021648, 374231.38169724, 414975.45910071296, 456329.94674048794, 494399.078150129, 537271.7416937139]",766435.0,3.0,True,,0.9499988348473152,0.95,0.0,537271.7416937139,299274.715742663,414975.45910071296,
2117,RobertWalraven:ESG,2020-10-19,26,2020-11-14,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[384666.77, 385960.39, 387118.51, 388403.68, 389688.86, 390846.98, 392140.6]",1018002.0,4.0,True,,0.9499594437365538,0.95,0.0,392140.6,384666.77,388403.68,
2118,CovidAnalytics:DELPHI,2020-10-19,19,2020-11-07,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[0.0, 0.0, 62297.742233077995, 158766.0, 255234.257766922, 342058.699007833, 439087.99276494206]",766435.0,3.0,True,,0.9277343097840326,0.95,0.0,439087.99276494206,0.0,158766.0,
2119,COVIDhub:ensemble,2020-10-19,19,2020-11-07,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[259011.0, 331207.0, 362006.0, 392010.0, 421972.0, 453666.0, 482665.0]",766435.0,3.0,True,,0.9499976588126263,0.95,0.0,482665.0,259011.0,392010.0,
2120,COVIDhub:baseline,2020-10-19,33,2020-11-21,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[224124.36563090602, 281202.253385534, 331641.601521015, 388452.0, 444623.186744367, 494906.47881078796, 552179.653705287]",1186501.0,5.0,True,,0.9499991560884402,0.95,0.0,552179.653705287,224124.36563090602,388452.0,
2121,RobertWalraven:ESG,2020-10-19,5,2020-10-24,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[423236.31, 424617.94, 425854.86, 427227.48, 428600.09, 429837.01, 431218.64]",479514.0,1.0,True,,0.9499620731346847,0.95,0.0,431218.64,423236.31,427227.48,
